crate,crc_name,poly,init,output_xor,lorem,lorem_aligned,check
crc8-autosar-fast,CRC-8/AUTOSAR,0x12F,0xFF,0xFF,0x99,0xA9,0xDF
crc8-cdma2000-fast,CRC-8/CDMA2000,0x19B,0xFF,0x00,0x33,0xFA,0xDA
crc8-dvbs2-fast,CRC-8/DVB-S2,0x1D5,0x00,0x00,0xDE,0x9F,0xBC
crc8-gsma-fast,CRC-8/GSM-A,0x11D,0x00,0x00,0x70,0x43,0x37
crc8-gsmb-fast,CRC-8/GSM-B,0x149,0x00,0xFF,0x69,0xBD,0x94
crc8-hitag-fast,CRC-8/HITAG,0x11D,0xFF,0x00,0xD1,0x02,0xB4
crc8-i4321-fast,CRC-8/I-432-1 (CRC-8/ITU),0x107,0x00,0x55,0xBD,0xED,0xA1
crc8-icode-fast,CRC-8/I-CODE,0x11D,0xFD,0x00,0x79,0x9A,0x7E
crc8-lte-fast,CRC-8/LTE,0x19b,0x00,0x00,0xA9,0x55,0xEA
crc8-mifaremad-fast,CRC-8/MIFARE-MAD,0x11D,0xC7,0x00,0x30,0x99,0x99
crc8-nrsc5-fast,CRC-8/NRSC-5,0x131,0xFF,0x00,0x60,0x1B,0xF7
crc8-opensafety-fast,CRC-8/OPENSAFETY,0x12F,0x00,0x00,0x87,0xBB,0x3E
crc8-smbus-fast,CRC-8/SMBUS (a.k.a. CRC-8),0x107,0x00,0x00,0xE8,0xB8,0xF4
crc16-cdma2000-fast,CRC-16/CDMA2000,0x1C867,0xFFFF,0x0000,0x5A56,0xDECE,0x4C06
crc16-cms-fast,CRC-16/CMS,0x18005,0xFFFF,0x0000,0xFAC0,0xB1B8,0xAEE7
crc16-dds110-fast,CRC-16/DDS-110,0x18005,0x800d,0x0000,0x5D1F,0x3DA1,0x9ECF
crc16-dectr-fast,CRC-16/DECT-R (R-CRC-16),0x10589,0x0000,0x0001,0xD78C,0xCFF8,0x007E
crc16-dectx-fast,CRC-16/DECT-X (X-CRC-16),0x10589,0x0000,0x0000,0xD78D,0xCFF9,0x007F
crc16-en13757-fast,CRC-16/EN-13757,0x13D65,0x0000,0xFFFF,0xF8A1,0x29A8,0xC2B7
crc16-genibus-fast,CRC-16/GENIBUS (CRC-16/DARC CRC-16/EPC CRC-16/EPC-C1G2 CRC-16/I-CODE),0x11021,0xFFFF,0xFFFF,0x8DB8,0xBAA2,0xD64E
crc16-gsm-fast,CRC-16/GSM,0x11021,0x0000,0xFFFF,0x2118,0xAC96,0xCE3C
crc16-ibm3740-fast,CRC-16/IBM-3740 (CRC-16/AUTOSAR CRC-16/CCITT-FALSE),0x11021,0xFFFF,0x0000,0x7247,0x455D,0x29B1
crc16-m17-fast,CRC-16/M17,0x15935,0xFFFF,0x0000,0xD396,0xD28E,0x772B
crc16-opensafetya-fast,CRC-16/OPENSAFETY-A,0x15935,0x0000,0x0000,0x31F4,0xE468,0x5D38
crc16-opensafetyb-fast,CRC-16/OPENSAFETY-B,0x1755B,0x0000,0x0000,0xAC5A,0x435E,0x20FE
crc16-profibus-fast,CRC-16/PROFIBUS (CRC-16/IEC-61158-2),0x11DCF,0xFFFF,0xFFFF,0xB296,0xF6ED,0xA819
crc16-spifujitsu-fast,CRC-16/SPI-FUJITSU (CRC-16/AUG-CCITT),0x11021,0x1D0F,0x0000,0x331E,0x8C6B,0xE5CC
crc16-t10dif-fast,CRC-16/T10-DIF,0x18BB7,0x0000,0x0000,0x6D13,0x2ADD,0xD0DB
crc16-teledisk-fast,CRC-16/TELEDISK,0x1A097,0x0000,0x0000,0x4E96,0x6F7B,0x0FB3
crc16-umts-fast,CRC-16/UMTS (CRC-16/BUYPASS CRC-16/VERIFONE),0x18005,0x0000,0x0000,0x2D30,0x3365,0xFEE8
crc16-xmodem-fast,CRC-16/XMODEM (CRC-16/ACORN CRC-16/LTE CRC-16/V-41-MSB XMODEM ZMODEM),0x11021,0x0000,0x0000,0xDEE7,0x5369,0x31C3
crc24-flexraya-fast,CRC-24/FLEXRAY-A,0x15D6DCB,0xFEDCBA,0x000000,0x2E22DA,0x1FD8C6,0x7979BD
crc24-flexrayb-fast,CRC-24/FLEXRAY-B,0x15D6DCB,0xABCDEF,0x000000,0x539B8D,0x16F059,0x1F23B8
crc24-openpgp-fast,CRC-24/OPENPGP (CRC-24/Radix64),0x1864CFB,0xB704CE,0x000000,0x470B16,0xE8DDBB,0x21CF02
crc32-aixm-fast,CRC-32/AIXM (CRC-32Q),0x1814141AB,0x00000000,0x00000000,0x198DD220,0x0F32CDF3,0x3010BF7F
crc32-bzip2-fast,CRC-32/BZIP2 (B-CRC-32 CRC-32/AAL5 CRC-32/DECT-B),0x104C11DB7,0xFFFFFFFF,0xFFFFFFFF,0x0950084A,0xF874EBFB,0xFC891918
crc32-mpeg2-fast,CRC-32/MPEG-2,0x104C11DB7,0xFFFFFFFF,0x00000000,0xF6AFF7B5,0x078B1404,0x0376E6E7
